CMDLINE C:\Users\Nata\anaconda\envs\opt_project\python.exe yoga-pose-classification-v0.py
MEM 2.132812 1767781850.3273
MEM 19.882812 1767781850.4277
MEM 29.234375 1767781850.5282
MEM 35.910156 1767781850.6289
MEM 41.566406 1767781850.7294
MEM 46.914062 1767781850.8300
MEM 51.968750 1767781850.9307
MEM 55.074219 1767781851.0311
MEM 62.382812 1767781851.1316
MEM 97.718750 1767781851.2321
MEM 106.742188 1767781851.3324
MEM 112.722656 1767781851.4327
MEM 116.785156 1767781851.5329
MEM 123.988281 1767781851.6331
MEM 127.710938 1767781851.7337
MEM 132.703125 1767781851.8344
MEM 137.238281 1767781851.9350
MEM 142.031250 1767781852.0354
MEM 147.003906 1767781852.1358
MEM 151.105469 1767781852.2360
MEM 152.464844 1767781852.3364
MEM 156.699219 1767781852.4367
MEM 160.664062 1767781852.5373
MEM 167.304688 1767781852.6374
MEM 171.542969 1767781852.7380
MEM 176.539062 1767781852.8385
MEM 181.832031 1767781852.9388
MEM 183.863281 1767781853.0394
MEM 188.609375 1767781853.1400
MEM 193.238281 1767781853.2405
MEM 199.378906 1767781853.3407
MEM 206.308594 1767781853.4410
MEM 212.457031 1767781853.5412
MEM 215.636719 1767781853.6416
MEM 222.289062 1767781853.7421
MEM 230.472656 1767781853.8427
MEM 231.121094 1767781853.9430
MEM 234.988281 1767781854.0438
MEM 236.054688 1767781854.1441
MEM 240.964844 1767781854.2443
MEM 241.328125 1767781854.3448
MEM 245.648438 1767781854.4455
MEM 251.164062 1767781854.5457
MEM 254.089844 1767781854.6462
MEM 261.527344 1767781854.7467
MEM 267.808594 1767781854.8473
MEM 271.957031 1767781854.9479
MEM 275.660156 1767781855.0486
MEM 278.164062 1767781855.1488
MEM 278.632812 1767781855.2490
MEM 279.175781 1767781855.3495
MEM 281.156250 1767781855.4500
MEM 316.648438 1767781855.5508
MEM 374.152344 1767781855.6511
MEM 411.976562 1767781855.7517
MEM 456.777344 1767781855.8525
MEM 463.066406 1767781855.9527
MEM 468.859375 1767781856.0530
MEM 475.148438 1767781856.1536
MEM 479.894531 1767781856.2541
MEM 484.714844 1767781856.3546
MEM 470.914062 1767781856.4548
MEM 477.117188 1767781856.5551
MEM 477.820312 1767781856.6558
MEM 478.449219 1767781856.7564
MEM 480.746094 1767781856.8570
MEM 484.839844 1767781856.9576
MEM 485.269531 1767781857.0581
MEM 486.656250 1767781857.1587
MEM 494.515625 1767781857.2591
MEM 500.457031 1767781857.3597
MEM 502.585938 1767781857.4604
MEM 505.476562 1767781857.5609
MEM 510.507812 1767781857.6611
MEM 781.585938 1767781857.7842
MEM 932.851562 1767781857.8847
MEM 946.476562 1767781857.9875
MEM 981.535156 1767781858.0939
MEM 985.078125 1767781858.2053
MEM 977.039062 1767781858.3149
MEM 983.832031 1767781858.4278
MEM 983.832031 1767781858.5301
MEM 983.875000 1767781858.6335
MEM 975.687500 1767781858.7342
MEM 1068.753906 1767781858.8490
MEM 1201.597656 1767781858.9497
MEM 1197.656250 1767781859.0719
MEM 1200.011719 1767781859.1729
MEM 1203.914062 1767781859.2767
MEM 1196.441406 1767781859.3777
MEM 1203.191406 1767781859.4796
MEM 1203.191406 1767781859.5862
MEM 1203.191406 1767781859.6958
MEM 1194.203125 1767781859.8034
MEM 1195.988281 1767781859.9113
MEM 1197.750000 1767781860.0121
MEM 1209.101562 1767781860.1127
MEM 1240.468750 1767781860.2351
MEM 1262.539062 1767781860.3396
MEM 1214.898438 1767781860.4604
MEM 1239.535156 1767781860.5776
MEM 1265.886719 1767781860.6792
MEM 1211.316406 1767781860.7827
MEM 1194.316406 1767781860.8851
MEM 1196.070312 1767781860.9859
MEM 1198.453125 1767781861.1079
MEM 1202.437500 1767781861.2091
MEM 1205.296875 1767781861.3148
MEM 1197.222656 1767781861.4235
